Time,data1,data2,data3,data4,data5,data6
2023-12-03 18:47:07,1,2,3,4,0,1
2023-12-03 18:47:07,1,2,3,4,0,2
2023-12-03 18:47:07,1,2,3,4,0,3
2023-12-03 18:47:07,1,2,3,4,0,4
2023-12-03 18:47:07,1,2,3,4,0,5
2023-12-03 18:47:07,1,2,3,4,0,6
2023-12-03 18:47:07,1,2,3,4,0,7
2023-12-03 18:47:07,1,2,3,4,0,8
2023-12-03 18:47:07,1,2,3,4,0,9
2023-12-03 18:47:07,1,2,3,4,0,16
2023-12-03 18:47:07,1,2,3,4,0,17
2023-12-03 18:47:07,1,2,3,4,0,18
2023-12-03 18:47:07,1,2,3,4,0,19
2023-12-03 18:47:07,1,2,3,4,0,20
2023-12-03 18:47:07,1,2,3,4,0,21
2023-12-03 18:47:07,1,2,3,4,0,22
2023-12-03 18:47:07,1,2,3,4,0,23
2023-12-03 18:47:07,1,2,3,4,0,24
2023-12-03 18:47:08,1,2,3,4,0,25
2023-12-03 18:47:08,1,2,3,4,0,32
2023-12-03 18:47:08,1,2,3,4,0,33
2023-12-03 18:47:08,1,2,3,4,0,34
2023-12-03 18:47:08,1,2,3,4,0,35
2023-12-03 18:47:08,1,2,3,4,0,36
2023-12-03 18:47:08,1,2,3,4,0,37
2023-12-03 18:47:08,1,2,3,4,0,38
2023-12-03 18:47:08,1,2,3,4,0,39
2023-12-03 18:47:08,1,2,3,4,0,40
2023-12-03 18:47:08,1,2,3,4,0,41
2023-12-03 18:47:08,1,2,3,4,0,48
2023-12-03 18:47:08,1,2,3,4,0,49
2023-12-03 18:47:08,1,2,3,4,0,50
2023-12-03 18:47:08,1,2,3,4,0,51
2023-12-03 18:47:08,1,2,3,4,0,52
2023-12-03 18:47:08,1,2,3,4,0,53
2023-12-03 18:47:08,1,2,3,4,0,54
2023-12-03 18:47:08,1,2,3,4,0,55
2023-12-03 18:47:08,1,2,3,4,0,56
2023-12-03 18:47:08,1,2,3,4,0,57
2023-12-03 18:47:08,1,2,3,4,0,64
2023-12-03 18:47:08,1,2,3,4,0,65
2023-12-03 18:47:08,1,2,3,4,0,66
2023-12-03 18:47:08,1,2,3,4,0,67
2023-12-03 18:47:08,1,2,3,4,0,68
2023-12-03 18:47:08,1,2,3,4,0,69
2023-12-03 18:47:08,1,2,3,4,0,70
2023-12-03 18:47:08,1,2,3,4,0,71
2023-12-03 18:47:08,1,2,3,4,0,72
2023-12-03 18:47:08,1,2,3,4,0,73
2023-12-03 18:47:08,1,2,3,4,0,80
2023-12-03 18:47:08,1,2,3,4,0,81
2023-12-03 18:47:08,1,2,3,4,0,82
2023-12-03 18:47:08,1,2,3,4,0,83
2023-12-03 18:47:08,1,2,3,4,0,84
2023-12-03 18:47:08,1,2,3,4,0,85
2023-12-03 18:47:08,1,2,3,4,0,86
2023-12-03 18:47:08,1,2,3,4,0,87
2023-12-03 18:47:08,1,2,3,4,0,88
2023-12-03 18:47:08,1,2,3,4,0,89
2023-12-03 18:47:08,1,2,3,4,0,96
2023-12-03 18:47:08,1,2,3,4,0,97
2023-12-03 18:47:08,1,2,3,4,0,98
2023-12-03 18:47:08,1,2,3,4,0,101
2023-12-03 18:47:08,1,2,3,4,0,102
2023-12-03 18:47:08,1,2,3,4,0,103
2023-12-03 18:47:08,1,2,3,4,0,104
2023-12-03 18:47:08,1,2,3,4,0,105
2023-12-03 18:47:08,1,2,3,4,0,112
2023-12-03 18:47:08,1,2,3,4,0,113
2023-12-03 18:47:08,1,2,3,4,0,114
2023-12-03 18:47:08,1,2,3,4,0,115
2023-12-03 18:47:08,1,2,3,4,0,116
2023-12-03 18:47:08,1,2,3,4,0,117
2023-12-03 18:47:08,1,2,3,4,0,118
2023-12-03 18:47:08,1,2,3,4,0,119
2023-12-03 18:47:09,1,2,3,4,0,120
2023-12-03 18:47:09,1,2,3,4,0,121
2023-12-03 18:47:09,1,2,3,4,0,128
2023-12-03 18:47:09,1,2,3,4,0,129
2023-12-03 18:47:09,1,2,3,4,0,130
2023-12-03 18:47:09,1,2,3,4,0,131
2023-12-03 18:47:09,1,2,3,4,0,132
2023-12-03 18:47:09,1,2,3,4,0,133
2023-12-03 18:47:09,1,2,3,4,0,134
2023-12-03 18:47:09,1,2,3,4,0,135
2023-12-03 18:47:09,1,2,3,4,0,136
2023-12-03 18:47:09,1,2,3,4,0,137
2023-12-03 18:47:09,1,2,3,4,0,144
2023-12-03 18:47:09,1,2,3,4,0,145
2023-12-03 18:47:09,1,2,3,4,0,146
2023-12-03 18:47:09,1,2,3,4,0,147
2023-12-03 18:47:09,1,2,3,4,0,148
2023-12-03 18:47:09,1,2,3,4,0,149
2023-12-03 18:47:09,1,2,3,4,0,150
2023-12-03 18:47:09,1,2,3,4,0,151
2023-12-03 18:47:09,1,2,3,4,0,152
2023-12-03 18:47:09,1,2,3,4,0,153
2023-12-03 18:47:09,1,2,3,4,0,256
2023-12-03 18:47:09,1,2,3,4,0,257
2023-12-03 18:47:09,1,2,3,4,0,258
2023-12-03 18:47:07,1,2,3,4,0,1
2023-12-03 18:47:07,1,2,3,4,0,2
2023-12-03 18:47:07,1,2,3,4,0,3
2023-12-03 18:47:07,1,2,3,4,0,4
2023-12-03 18:47:07,1,2,3,4,0,5
2023-12-03 18:47:07,1,2,3,4,0,6
2023-12-03 18:47:07,1,2,3,4,0,7
2023-12-03 18:47:07,1,2,3,4,0,8
2023-12-03 18:47:07,1,2,3,4,0,9
2023-12-03 18:47:07,1,2,3,4,0,16
2023-12-03 18:47:07,1,2,3,4,0,17
2023-12-03 18:47:07,1,2,3,4,0,18
2023-12-03 18:47:07,1,2,3,4,0,19
2023-12-03 18:47:07,1,2,3,4,0,20
2023-12-03 18:47:07,1,2,3,4,0,21
2023-12-03 18:47:07,1,2,3,4,0,22
2023-12-03 18:47:07,1,2,3,4,0,23
2023-12-03 18:47:07,1,2,3,4,0,24
2023-12-03 18:47:08,1,2,3,4,0,25
2023-12-03 18:47:08,1,2,3,4,0,32
2023-12-03 18:47:08,1,2,3,4,0,33
2023-12-03 18:47:08,1,2,3,4,0,34
2023-12-03 18:47:08,1,2,3,4,0,35
2023-12-03 18:47:08,1,2,3,4,0,36
2023-12-03 18:47:08,1,2,3,4,0,37
2023-12-03 18:47:08,1,2,3,4,0,38
2023-12-03 18:47:08,1,2,3,4,0,39
2023-12-03 18:47:08,1,2,3,4,0,40
2023-12-03 18:47:08,1,2,3,4,0,41
2023-12-03 18:47:08,1,2,3,4,0,48
2023-12-03 18:47:08,1,2,3,4,0,49
2023-12-03 18:47:08,1,2,3,4,0,50
2023-12-03 18:47:08,1,2,3,4,0,51
2023-12-03 18:47:08,1,2,3,4,0,52
2023-12-03 18:47:08,1,2,3,4,0,53
2023-12-03 18:47:08,1,2,3,4,0,54
2023-12-03 18:47:08,1,2,3,4,0,55
2023-12-03 18:47:08,1,2,3,4,0,56
2023-12-03 18:47:08,1,2,3,4,0,57
2023-12-03 18:47:08,1,2,3,4,0,64
2023-12-03 18:47:08,1,2,3,4,0,65
